team_id,shortName,teamName,head_coach,won,goals,shots,hits,pim,powerPlayOpportunities,powerPlayGoals,faceOffWinPercentage,giveaways,takeaways,blocked,away_goals,home_goals
22,Edmonton,Oilers,Dave Tippett,152,940.0,8861.0,6675.0,2432.0,856.0,247.0,14613.8,3577.0,2436.0,4455.0,958,904
22,Edmonton,Oilers,Ken Hitchcock,104,688.0,7048.0,6864.0,2168.0,616.0,132.0,11932.0,2912.0,1936.0,3528.0,740,792
22,Edmonton,Oilers,Pat Quinn,27,206.0,2321.0,1566.0,1133.0,301.0,52.0,0.0,1055.0,544.0,1305.0,227,271
22,Edmonton,Oilers,Ralph Krueger,19,123.0,1285.0,1060.0,522.0,169.0,34.0,2215.0,479.0,307.0,754.0,135,124
22,Edmonton,Oilers,Todd McLellan,157,935.0,10578.0,8379.0,3295.0,1006.0,195.0,16341.5,4033.0,2707.0,5203.0,945,1022
22,Edmonton,Oilers,Todd Nelson,17,117.0,1307.0,1142.0,353.0,124.0,28.0,2195.3,504.0,351.0,702.0,128,152
22,Edmonton,Oilers,Tom Renney,57,398.0,4375.0,3426.0,2212.0,566.0,98.0,7526.3,1968.0,1242.0,2458.0,444,469
23,Vancouver,Canucks,Alain Vigneault,329,1630.0,17191.0,11049.0,8496.0,2331.0,447.0,12731.3,4230.0,3891.0,6992.0,1471,1652
23,Vancouver,Canucks,John Tortorella,36,191.0,2527.0,1710.0,1115.0,257.0,39.0,4220.1,538.0,524.0,1217.0,193,226
23,Vancouver,Canucks,Marc Crawford,208,1244.0,11885.0,3331.0,6384.0,2108.0,379.0,0.0,1650.0,1189.0,2166.0,1128,1226
23,Vancouver,Canucks,Travis Green,355,2182.0,22613.0,16473.0,7028.0,2471.0,505.0,38962.8,6419.0,5051.0,11880.0,2135,2415
23,Vancouver,Canucks,Willie Desjardins,111,614.0,7219.0,4704.0,2493.0,728.0,120.0,12072.0,1996.0,1504.0,3389.0,665,690
24,Anaheim,Ducks,Bob Murray,56,288.0,2932.0,2504.0,1040.0,256.0,56.0,5125.2,1168.0,844.0,1576.0,260,304
24,Anaheim,Ducks,Bruce Boudreau,232,1119.0,11858.0,10605.0,4464.0,1210.0,230.0,19726.4,3527.0,2235.0,5947.0,1022,1129
24,Anaheim,Ducks,Bryan Murray,29,175.0,2142.0,0.0,1254.0,373.0,43.0,0.0,0.0,0.0,0.0,183,190
24,Anaheim,Ducks,Craig Hartsburg,11,80.0,910.0,0.0,471.0,162.0,27.0,0.0,0.0,0.0,0.0,90,90
24,Anaheim,Ducks,Dallas Eakins,116,728.0,8424.0,6384.0,2900.0,736.0,108.0,14408.4,2944.0,1792.0,3776.0,792,860
24,Anaheim,Ducks,Guy Charron,14,108.0,1213.0,0.0,665.0,211.0,39.0,0.0,0.0,0.0,0.0,123,130
24,Anaheim,Ducks,Mike Babcock,69,387.0,4684.0,1609.0,2085.0,658.0,112.0,0.0,1126.0,976.0,896.0,359,434
